"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_p25"
6037262400,"Brentwood, Los Angeles, CA",48658
6037141500,"Encino, Los Angeles, CA",43008
6037265420,"Westwood, Los Angeles, CA",42410
6037262301,"Los Angeles, CA",40482
6037207101,"Central LA, Los Angeles, CA",39850
6037139703,"Encino, Los Angeles, CA",39157
6037481606,"Alhambra, CA",38741
6037700801,"Beverly Hills, CA",38603
6037265510,"Westwood, Los Angeles, CA",38499
6037481714,"Monterey Park, CA",38481
6037194101,"Central LA, Los Angeles, CA",38253
6037265100,"Westwood, Los Angeles, CA",38129
6037701304,"North of Montana, Santa Monica, CA",37789
6037264301,"Brentwood, Los Angeles, CA",37670
6037300902,"Glenoaks Canyon, Glendale, CA",37614
6037480201,"San Gabriel, CA",37317
6037214901,"Beverly Grove, West Hollywood, CA",37064
6037700400,"Central LA, West Hollywood, CA",37009
6037188202,"Central LA, Los Angeles, CA",36837
6037701302,"Wilshire Montana, Santa Monica, CA",36734
6037481711,"Monterey Park, CA",36662
6037139702,"Encino, Los Angeles, CA",36380
6037276400,"Westchester, Los Angeles, CA",36342
6037265202,"Westwood, Los Angeles, CA",36317
6037261200,"Beverly Glen, Los Angeles, CA",36316
6037481603,"Alhambra, CA",36052
6037482600,"Garvey, Monterey Park, CA",36046
6037189400,"Central LA, Los Angeles, CA",35952
6037980010,"Echo Park, Los Angeles, CA",35783
6037207103,"Central LA, Los Angeles, CA",35745
6037192300,"Central LA, Los Angeles, CA",35725
6037300901,"Chevy Chase, Glendale, CA",35565
6037481500,"Alhambra, CA",35541
6037482202,"Garvey, Monterey Park, CA",35462
6037267404,"Sawtelle, Los Angeles, CA",35391
6037481713,"Monterey Park, CA",35359
6037481605,"Alhambra, CA",35250
6037700902,"Beverly Hills, CA",35144
6037700901,"Central LA, Beverly Hills, CA",34833
6037214502,"Central LA, Los Angeles, CA",34779
6037267502,"West Los Angeles, Los Angeles, CA",34729
6037301100,"Rossmoyne, Glendale, CA",34721
6037481712,"Garvey, Monterey Park, CA",34721
6037141400,"Encino, Los Angeles, CA",34685
6037481800,"Alhambra, CA",34662
6037267200,"West Los Angeles, Los Angeles, CA",34478
6037269100,"Pico - Robertson, Los Angeles, CA",34461
6037700600,"Beverly Hills, CA",34454
6037189903,"Central LA, Los Angeles, CA",34347
6037269500,"Beverlywood, Los Angeles, CA",34342
